RDF Type	Class type	Parent	ID	See Also	Label	Label	Label	Label	Abbreviation	Definition	Editors Note	Citation
owl:Class	subclass	ADO:00007	ADO:00048	http://vivoweb.org/ontology/degree/academicDegree27	Bachelor of Medicine				BM	Bachelor of Medicine		
owl:Class	subclass	ADO:00006	ADO:00049	http://vivoweb.org/ontology/degree/academicDegree28	Bachelor of Music				BM	Bachelor of Music		
owl:Class	subclass	ADO:00007	ADO:00050	http://vivoweb.org/ontology/degree/academicDegree30	Bachelor of Nursing				BN	Bachelor of Nursing		
owl:Class	subclass	ADO:00007	ADO:00051	http://vivoweb.org/ontology/degree/academicDegree31	Bachelor of Pharmacy				BPharm	Bachelor of Pharmacy		
owl:Class	subclass	ADO:00006	ADO:00052	http://vivoweb.org/ontology/degree/academicDegree97	Bachelor of Philosophy				PhB	Bachelor of Philosophy		
owl:Class	subclass	ADO:00006	ADO:00053	http://vivoweb.org/ontology/degree/academicDegree32	Bachelor of Religious Education				BRE	Bachelor of Religious Education		
owl:Class	subclass	ADO:00006	ADO:00054	http://vivoweb.org/ontology/degree/academicDegree104	Bachelor of Sacred Theology				STB	Bachelor of Sacred Theology		
owl:Class	subclass	ADO:00007	ADO:00055		Bachelor of Science in Accounting				BSAc	Bachelor of Science in Accounting		
owl:Class	subclass	ADO:00007	ADO:00056	http://vivoweb.org/ontology/degree/academicDegree34	Bachelor of Science in Education				BSEd	Bachelor of Science in Education		
owl:Class	subclass	ADO:00007	ADO:00057		Bachelor of Science in Electrical Engineering				BSEE	Bachelor of Science in Electrical Engineering		
owl:Class	subclass	ADO:00007	ADO:00058	http://vivoweb.org/ontology/degree/academicDegree120	Bachelor of Science in Engineering				BSE	Bachelor of Science in Engineering		
owl:Class	subclass	ADO:00007	ADO:00059	http://vivoweb.org/ontology/degree/academicDegree136	Bachelor of Science in Forensic Science				BSFS	Bachelor of Science in Forensic Science		
owl:Class	subclass	ADO:00007	ADO:00060		Bachelor of Science in Mechanical Engineering				BSME	Bachelor of Science in Mechanical Engineering		
owl:Class	subclass	ADO:00007	ADO:00061	http://vivoweb.org/ontology/degree/academicDegree130	Bachelor of Science in Nursing				BSN	Bachelor of Science in Nursing		
owl:Class	subclass	ADO:00007	ADO:00062		Bachelor of Science in Pharmacy				BSP	Bachelor of Science in Pharmacy		
owl:Class	subclass	ADO:00007	ADO:00063		Bachelor of Surgery				BSurg	Bachelor of Surgery		
owl:Class	subclass	ADO:00007	ADO:00064		Bachelor of Technology				BTech	Bachelor of Technology		
owl:Class	subclass	ADO:00006	ADO:00065	http://vivoweb.org/ontology/degree/academicDegree107	Bachelor of Theology				ThB	Bachelor of Theology		
owl:Class	subclass	ADO:00007	ADO:00066		Bachelor of Veterinary Medicine				BVM	Bachelor of Veterinary Medicine		
owl:Class	subclass	ADO:00007	ADO:00067	http://vivoweb.org/ontology/degree/academicDegree128	Bachelor of Veterinary Science				BVS	Bachelor of Veterinary Science		
owl:Class	subclass	ADO:00007	ADO:00068	http://vivoweb.org/ontology/degree/academicDegree36	Chemical Engineer				ChE	Chemical Engineer		
owl:Class	subclass	ADO:00007	ADO:00069	http://vivoweb.org/ontology/degree/academicDegree35	Civil Engineer				CE	Civil Engineer		
owl:Class	subclass	ADO:00002	ADO:00070	http://vivoweb.org/ontology/degree/academicDegree116	Diploma of Education				DipEd	Diploma of Education		
owl:Class	subclass	ADO:00011	ADO:00071	http://vivoweb.org/ontology/degree/academicDegree38	Doctor of Applied Science				DAS	Doctor of Applied Science		
owl:Class	subclass	ADO:00011	ADO:00072	http://vivoweb.org/ontology/degree/academicDegree37	Doctor of Arts				DA	Doctor of Arts		
owl:Class	subclass	ADO:00011	ADO:00073	http://vivoweb.org/ontology/degree/academicDegree145	Doctor of Audiology				AuD	Doctor of Audiology		
owl:Class	subclass	ADO:00011	ADO:00074	http://vivoweb.org/ontology/degree/academicDegree39	Doctor of Business Administration				DBA	Doctor of Business Administration		
owl:Class	subclass	ADO:00011	ADO:00075	http://vivoweb.org/ontology/degree/academicDegree40	Doctor of Chiropractic				DC	Doctor of Chiropractic		
owl:Class	subclass	ADO:00011	ADO:00076	http://vivoweb.org/ontology/degree/academicDegree46	Doctor of Dental Medicine				DMD	Doctor of Dental Medicine		
owl:Class	subclass	ADO:00011	ADO:00077	http://vivoweb.org/ontology/degree/academicDegree43	Doctor of Dental Science				DDS	Doctor of Dental Science		
owl:Class	subclass	ADO:00011	ADO:00078	http://vivoweb.org/ontology/degree/academicDegree42	Doctor of Dental Surgery	Cirujano Dentista			DDS	Doctor of Dental Surgery		
owl:Class	subclass	ADO:00011	ADO:00079	http://vivoweb.org/ontology/degree/academicDegree41	Doctor of Divinity				DD	Doctor of Divinity		
owl:Class	subclass	ADO:00011	ADO:00080	http://vivoweb.org/ontology/degree/academicDegree56	Doctor of Education				EdD	Doctor of Education		
owl:Class	subclass	ADO:00011	ADO:00081		Doctor of Health and Safety				HSD	Doctor of Health and Safety		
owl:Class	subclass	ADO:00011	ADO:00082	http://vivoweb.org/ontology/degree/academicDegree146	Doctor of Health Education				DHEd	Doctor of Health Education		
